question_id,language,is_answered,tags,title,answer_count,creation_date,score,link,view_count,user_id,reputation,user_type,display_name
39765437,mysql,False,php|html|mysql,"How can I mark the values from one table, that are not in another table (mySQL)?",3,1475138412,0,http://stackoverflow.com/questions/39765437/how-can-i-mark-the-values-from-one-table-that-are-not-in-another-table-mysql,17,5024157,932,registered,Jarla
7718276,mysql,True,mysql|sql|sql-server|oracle|plsql,"same SQL concatenation opeartor for mysql,mssql,oracle",5,1318278415,0,http://stackoverflow.com/questions/7718276/same-sql-concatenation-opeartor-for-mysql-mssql-oracle,869,616391,101,registered,ahmed saud
39764167,mysql,True,php|mysql,Cannot login. What is wrong in the code below?,1,1475134587,0,http://stackoverflow.com/questions/39764167/cannot-login-what-is-wrong-in-the-code-below,38,6827401,3,registered,Syed
39765771,mysql,False,php|mysql,insert array to to single mysql raw with foreach,0,1475139352,0,http://stackoverflow.com/questions/39765771/insert-array-to-to-single-mysql-raw-with-foreach,5,6628721,11,registered,Kevin Heimlich
39765269,mysql,False,mysql|group-concat,Condition in GROUP_CONCAT selection,1,1475137951,2,http://stackoverflow.com/questions/39765269/condition-in-group-concat-selection,10,2595861,21,registered,user2595861
39765766,mysql,False,php|mysql,Select * but no results containing &quot;This&quot;,0,1475139341,0,http://stackoverflow.com/questions/39765766/select-but-no-results-containing-this,4,5847511,104,registered,Lewis Smith
39765746,mysql,False,c#|mysql|entity-framework|sqlite,Configuration of SqLite and MySql Db in one App.Config,0,1475139309,0,http://stackoverflow.com/questions/39765746/configuration-of-sqlite-and-mysql-db-in-one-app-config,4,3292642,81,registered,user3292642
39709441,mysql,False,mysql|sql|database|magento,"SQLSTATE[42S01]: Base table or view already exists: 1050 Table &#39;customer_address_entity&#39; already exists,",0,1474912918,-3,http://stackoverflow.com/questions/39709441/sqlstate42s01-base-table-or-view-already-exists-1050-table-customer-address,13,5640894,6,registered,Abdul Wahab Turk
39764585,mysql,False,php|mysql,Class not found,2,1475135969,0,http://stackoverflow.com/questions/39764585/class-not-found,46,6898116,1,registered,Jayem Garin
39765570,mysql,False,php|mysql,MYSQL and PHP where any related row contains string,0,1475138791,0,http://stackoverflow.com/questions/39765570/mysql-and-php-where-any-related-row-contains-string,28,5474963,33,registered,Jordan
